#{"t_start": 1706187320.441495, "env_id": null}
r,l,t
0.0,50,1810.716247
0.0,50,1812.405703
1.0,2,1812.439976
0.0,50,1814.862388
0.0,50,1820.494072
0.0,50,1825.418472
1.0,2,1825.439421
0.0,50,1827.128797
2.0,50,1828.290539
1.0,50,1830.881158
0.0,50,1832.835594
0.0,50,1834.893531
1.0,50,1837.038686
0.0,50,1838.725213
0.0,50,1839.973204
0.0,50,1903.103848
1.0,50,1906.583826
2.0,50,1907.668525
0.0,50,1909.498288
2.0,23,1910.062107
0.0,50,1911.65043
1.0,50,1913.958848
1.0,50,1915.830492
0.0,50,1917.927001
0.0,50,1919.980386
0.0,50,1921.92143
0.0,50,1923.107032
1.0,50,1926.080393
1.0,50,1927.442816
0.0,50,1928.577892
0.0,50,1929.02383
4.0,35,1929.491461
1.0,50,1932.822515
0.0,50,1933.771344
0.0,50,1935.691477
0.0,50,1939.670488
0.0,50,1941.245623
1.0,1,1941.264813
0.0,50,1943.177396
0.0,50,1946.054437
2.0,35,1949.880325
1.0,1,1949.901422
2.0,50,1951.200799
1.0,50,1954.853836
1.0,50,1956.912676
0.0,50,1959.319754
1.0,50,1960.465568
3.0,50,1962.450106
1.0,3,1962.534822
3.0,10,1962.82626
1.0,50,1964.951776
0.0,50,1967.272831
1.0,50,1971.406011
3.0,50,1973.899112
0.0,50,1975.566374
0.0,50,1977.723498
0.0,50,1981.474682
0.0,50,1983.910968
0.0,50,1986.794297
0.0,50,1988.887079
0.0,50,1992.174144
2.0,37,2053.12339
1.0,50,2056.701592
0.0,50,2058.089213
0.0,50,2059.810714
0.0,50,2060.967242
2.0,50,2062.822191
0.0,50,2064.170438
1.0,50,2068.646223
1.0,50,2070.987602
2.0,50,2073.854947
1.0,50,2076.530908
1.0,50,2078.128126
0.0,50,2080.155478
0.0,50,2083.465228
1.0,50,2086.620574
1.0,50,2089.933617
0.0,50,2091.410511
0.0,50,2092.867844
2.0,50,2095.327458
1.0,50,2097.85989
4.0,18,2098.12309
0.0,50,2100.810147
1.0,50,2103.340452
3.0,50,2106.471612
2.0,50,2107.12442
2.0,50,2110.105994
1.0,1,2110.159749
0.0,50,2111.197047
1.0,50,2113.352198
1.0,50,2114.815037
1.0,50,2118.880301
0.0,50,2121.014941
0.0,50,2122.663572
2.0,50,2124.283227
0.0,50,2127.524778
0.0,50,2129.551754
2.0,2,2129.592028
0.0,50,2130.917216
2.0,50,2134.314548
5.0,22,2134.603097
1.0,50,2136.038508
1.0,3,2136.145513
0.0,50,2138.015656
0.0,50,2139.981016
1.0,50,2142.414474
2.0,17,2142.720844
2.0,50,2211.558007
2.0,10,2211.918389
0.0,50,2213.369719
0.0,50,2214.676463
0.0,50,2216.664587
0.0,50,2218.697486
0.0,50,2220.92269
0.0,50,2222.385661
2.0,50,2223.461421
0.0,50,2225.272438
1.0,3,2225.29149
1.0,50,2226.454565
0.0,50,2227.9058
1.0,50,2229.498322
0.0,50,2230.468125
1.0,50,2233.31397
1.0,5,2233.375318
1.0,1,2233.382222
1.0,50,2236.26474
2.0,50,2237.676516
0.0,50,2240.079189
0.0,50,2241.77809
1.0,50,2243.59867
0.0,50,2245.605925
3.0,4,2245.689892
1.0,1,2245.759707
1.0,50,2247.823924
2.0,50,2249.05533
0.0,50,2251.862397
0.0,50,2255.004404
0.0,50,2257.254767
2.0,50,2259.45249
2.0,50,2260.333044
3.0,50,2262.08809
1.0,2,2262.155501
1.0,50,2264.53883
0.0,50,2266.197563
2.0,14,2266.485116
0.0,50,2267.928239
4.0,50,2270.145998
0.0,50,2271.793866
0.0,50,2275.262637
3.0,50,2277.082857
1.0,50,2280.206116
2.0,3,2280.238187
1.0,2,2280.307028
1.0,2,2280.397252
1.0,50,2281.953352
1.0,7,2282.008568
2.0,50,2283.300528
0.0,50,2284.94469
0.0,50,2286.312985
1.0,4,2286.365125
1.0,50,2342.228829
1.0,50,2343.654431
0.0,50,2345.024393
0.0,50,2346.685029
0.0,50,2348.771278
1.0,50,2350.338838
2.0,50,2353.399276
3.0,7,2353.548211
1.0,18,2353.985992
0.0,50,2355.135762
1.0,50,2357.243709
2.0,50,2358.412285
1.0,50,2360.793932
1.0,3,2360.811488
1.0,50,2362.536704
0.0,50,2364.104819
0.0,50,2369.143299
1.0,50,2370.193421
2.0,29,2372.150643
0.0,50,2373.356236
2.0,50,2374.949522
0.0,50,2375.501859
0.0,50,2379.544022
0.0,50,2381.514358
1.0,50,2382.996805
0.0,50,2385.747979
2.0,50,2388.727298
0.0,50,2389.804453
0.0,50,2391.615345
0.0,50,2393.294205
1.0,7,2393.420297
0.0,50,2394.664255
0.0,50,2398.23486
3.0,50,2400.62473
1.0,50,2402.311839
3.0,39,2402.837992
1.0,50,2405.280396
2.0,50,2407.593152
0.0,50,2410.471214
0.0,50,2413.423382
2.0,4,2413.673423
1.0,50,2417.483225
0.0,50,2418.104878
1.0,4,2418.264168
1.0,3,2418.276333
0.0,50,2419.197132
0.0,50,2421.156512
1.0,50,2479.350132
0.0,50,2482.231977
0.0,50,2482.947077
0.0,50,2485.306653
1.0,50,2489.501305
3.0,50,2490.702602
1.0,1,2490.724429
0.0,50,2493.466124
0.0,50,2493.935394
0.0,50,2496.541619
0.0,50,2499.018777
0.0,50,2500.501698
1.0,50,2502.648807
0.0,50,2504.234643
2.0,50,2507.203631
1.0,50,2509.402963
0.0,50,2510.944751
1.0,50,2512.768869
0.0,50,2514.69586
0.0,50,2517.033042
1.0,1,2517.052788
0.0,50,2518.935878
0.0,50,2520.367787
0.0,50,2521.78671
0.0,50,2524.550532
0.0,50,2525.318968
2.0,11,2525.584903
0.0,50,2526.952426
1.0,50,2527.33835
0.0,50,2529.793893
0.0,50,2530.743756
0.0,50,2532.565101
0.0,50,2534.019759
0.0,50,2535.844838
0.0,50,2537.455888
0.0,50,2538.307479
0.0,50,2540.144825
0.0,50,2541.423165
1.0,50,2543.690679
0.0,50,2545.17206
1.0,50,2546.812706
0.0,50,2548.297192
1.0,50,2550.869459
1.0,50,2553.752416
4.0,12,2554.142654
0.0,50,2616.637759
2.0,50,2618.01822
0.0,50,2619.783541
1.0,50,2621.187119
3.0,24,2621.849797
1.0,50,2623.901283
0.0,50,2625.639286
0.0,50,2628.187516
0.0,50,2629.906554
2.0,50,2632.024771
0.0,50,2633.595855
2.0,12,2634.266795
1.0,50,2636.268291
0.0,50,2637.454943
1.0,50,2639.548267
2.0,9,2639.708707
1.0,50,2641.300516
3.0,50,2641.952729
0.0,50,2642.689381
0.0,50,2643.186497
1.0,50,2644.87237
0.0,50,2646.152292
0.0,50,2647.818004
1.0,50,2650.010212
3.0,45,2650.582113
0.0,50,2651.393739
0.0,50,2654.113836
1.0,50,2654.923357
3.0,30,2655.944602
1.0,50,2657.63168
0.0,50,2660.286695
1.0,50,2661.305343
0.0,50,2663.569716
0.0,50,2665.359555
1.0,50,2666.237846
0.0,50,2667.521415
0.0,50,2669.091085
1.0,2,2669.112929
0.0,50,2671.008798
