rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/explained_variance
34.26,24,23372,575488,1.26,281,0.001,0.10778810339979827,1.0,280,0.00896267406642437,0.00740115437656641,0.22202414274215698
35.06,24,23442,577536,1.21,282,0.001,0.08941146966535599,1.0,281,0.008641290478408337,0.02337355725467205,0.17875665426254272
36.07,24,23517,579584,1.42,283,0.001,0.08232998895691708,1.0,282,0.0036265822127461433,0.01419254019856453,0.24513202905654907
33.98,24,23593,581632,1.55,284,0.001,0.11943501739297062,1.0,283,0.008836078457534313,0.012891046702861786,0.16982370615005493
33.63,24,23669,583680,1.6,285,0.001,0.1260850200196728,1.0,284,0.00888003222644329,0.00956062413752079,0.10140776634216309
33.6,24,23746,585728,1.6,286,0.001,0.11059166204649955,1.0,285,0.007565951906144619,0.013976696878671646,0.19862675666809082
35.44,24,23818,587776,1.31,287,0.001,0.12725810990668834,1.0,286,0.009396778419613838,0.012161875143647194,0.2091522216796875
30.35,24,23895,589824,1.55,288,0.001,0.09183554335031659,1.0,287,0.009887542575597763,0.010380030609667301,0.19252699613571167
30.28,24,23969,591872,1.53,289,0.001,0.12696578113827856,1.0,288,0.006267971824854612,0.016478799283504486,0.23547792434692383
32.33,24,24041,593920,1.39,290,0.001,0.10097824889235199,1.0,289,0.00973958894610405,0.01574290543794632,0.3277209997177124
31.33,24,24110,595968,1.5,291,0.001,0.1313471260946244,1.0,290,0.006498219445347786,0.016191674396395683,0.3313647508621216
35.51,24,24171,598016,1.49,292,0.001,0.13243119632825257,1.0,291,0.009636553935706615,0.00962135661393404,0.12190759181976318
36.66,24,24250,600064,1.36,293,0.001,0.09794944771565497,1.0,292,0.006983782164752483,0.012439955025911331,0.1073957085609436
38.09,24,24322,602112,1.38,294,0.001,0.1322587944334373,1.0,293,0.009375089779496193,0.025111166760325432,0.08176219463348389
36.75,24,24398,604160,1.33,295,0.001,0.11007506537716835,1.0,294,0.007837248966097832,0.007981376722455025,0.1037033200263977
33.2,24,24470,606208,1.43,296,0.001,0.10577879697084427,1.0,295,0.008977722376585007,0.01699601300060749,0.1445215344429016
30.61,24,24542,608256,1.56,297,0.001,0.11398130573797971,1.0,296,0.009236261248588562,0.02995235286653042,0.16266202926635742
32.49,24,24620,610304,1.59,298,0.001,0.1323542624246329,1.0,297,0.009048654697835445,0.02851232886314392,0.12543559074401855
33.73,24,24699,612352,1.5,299,0.001,0.13203498222865165,1.0,298,0.006680943537503481,0.013368163257837296,0.11929124593734741
34.11,24,24766,614400,1.81,300,0.001,0.11909482649061828,1.0,299,0.007630302105098963,0.017627950757741928,0.1130824089050293
32.01,24,24837,616448,1.52,301,0.001,0.16611230415292083,1.0,300,0.00822217483073473,0.013422875665128231,0.09621989727020264
31.66,24,24909,618496,1.3,302,0.001,0.09533203176688403,1.0,301,0.0073036192916333675,0.010792414657771587,0.20999985933303833
31.84,24,24986,620544,1.49,303,0.001,0.1054489758098498,1.0,302,0.0069549111649394035,0.010336372070014477,0.2640734314918518
32.19,24,25057,622592,1.68,304,0.001,0.12739911668468268,1.0,303,0.008719568140804768,0.020485421642661095,0.07278919219970703
32.3,24,25124,624640,1.48,305,0.001,0.14164604591205715,1.0,304,0.007821605540812016,0.026025760918855667,0.22125309705734253
31.38,24,25196,626688,1.55,306,0.001,0.13028352498076856,1.0,305,0.009881912730634212,0.02119952253997326,0.13811397552490234
